127.0.0.1 - - [05/Sep/2015:21:26:23 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/pages/steward.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/pages/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.md5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/images/logo_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/images/login_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:26:32 +0800] "GET /DashBoard/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:04 +0800] "GET /DashBoard/pages/steward.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:04 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:17 +0800] "GET /DashBoard/su/login?username=test&password=Flk!2015 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:18 +0800] "GET /DashBoard/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:18 +0800] "GET /DashBoard/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:18 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:19 +0800] "GET /DashBoard/planeinfo/getplanelist?org=spring&page=1&rows=10 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:20 +0800] "GET /DashBoard/planeinfo/getflightlist?org=spring&plane=B-FL01&start=1440518400000&end=1441459639000 HTTP/1.1" 200 24779
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:22 +0800] "GET /DashBoard/pages/steward.html HTTP/1.1" 200 24061
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:27:23 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:05 +0800] "GET /DashBoard/action/getstewardloginoutinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/action/getstewardorderinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/pages/steward.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/su/login?username=test&password=Flk!2015 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker-bs3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/js/steward.js HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/daterangepicker/moment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:12 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.js HTTP/1.1" 200 256592
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:13 +0800] "GET /DashBoard/planeinfo/getplanelist?org=spring&page=1&rows=10 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:13 +0800] "GET /DashBoard/planeinfo/getflightlist?org=spring&plane=B-FL01&start=1440518400000&end=1441459693000 HTTP/1.1" 200 24779
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:14 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:20 +0800] "GET /DashBoard/action/getstewardloginoutinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:21 +0800] "GET /DashBoard/action/getstewardorderinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:30 +0800] "GET /DashBoard/action/getstewardloginoutinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:28:31 +0800] "GET /DashBoard/action/getstewardorderinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/pages/steward.html HTTP/1.1" 200 24097
